Index,Text
7,"눈을 뜨니, 눈앞에 펼쳐진 것은 낯선 공간이었다."
7,"방을 감싸는 은은한 조명은 공간의 화려함을 강조하고 있었으며, 공기는 묘하게 무겁고 차분했다."
7,"방금 전까지 있던 메인 홀의 혼잡함과는 완전히 다른, 조용하고 고급스러운 분위기."
8,그리고 그 공간의 중심에 한 여자가 서 있었다.
8,"정갈한 딜러 의상을 입고, 긴 흑발을 무심하게 늘어뜨린 그녀."
8,"마치 내가 깨어나길 기다렸다는 듯, 천천히 다가왔다."
9,살짝 쫑긋거리는 귀. 살랑살랑 흔들리는 꼬리.
10,...꼬리?
11,실례네요. 깨어나자마자 가장 궁금한 게 제 꼬리인가요?
8,낮고 차분한 목소리. 그러나 그 속에는 묘하게 내 심장을 짓누르는 무언가가 스며들어 있었다.
12,여긴 어디지? 나는 분명 방금 전까지...
13,"여긴 Devil's Pastime의 VIP룸이에요. 
이곳에 올 자격이 있는 사람은 손가락으로 꼽을 정도죠. 당신은 정말 운이 좋네요."
15,그녀가 의미심장한 미소를 지었다.
14,"그리고, 아주 운이 나쁘네요."
15,테이블 위의 카드 더미를 가볍게 만지작거리며 그녀는 말을 이었다.
14,지금까지 메인 홀에서의 게임은 즐거우셨나요?
16,그거야... 물론...
14,"제가 말하는 건, 당신이 아주 교묘하게 사기를 치고 있다는 사실인데."
15,순간 몸이 굳었다. 머릿속이 멈춰버린 기계처럼 제대로 돌아가지 않는다.
16,무슨 말인지... 모르겠는데?
17,내 말에 그녀는 가볍게 웃음을 터뜨렸다. 그 웃음 속엔 조롱과 확신이 섞여 있었다.
18,거짓말은 필요 없어요. 이미 다 알고 있거든요.
18,하지만 걱정 마세요. 저는 그런 걸 문제 삼지 않으니까.
17,"그녀가 손가락을 튕기자. 테이블 위 카드 더미가 공중으로 떠올라, 그녀의 손짓을 따라 우아하게 섞이기 시작했다."
18,이 카지노에서 사기를 치던 인간들은 많았어요.
18,그래도 괜찮아요. 사기를 쳐서라도 이기려는 그 모습이 오히려 더 흥미롭거든요.
17,"카드가 천천히 그녀의 손으로 내려앉았다. 
그녀는 그중 한 장을 뒤집어 테이블 위에 내려놓았다."
17,카드의 문양. 그것은 마치... 악마의 얼굴 같았다.
18,"그러니 걱정 말고... 더 큰 게임을 해보죠. 
이 VIP룸에선 사기도, 전략도 모두 허용돼요."
18,내가 정한 규칙만 어기지 않는다면.
19,그녀가 미소 지으며 덧붙였다.
20,어때요? 저와 게임 한 번 해보겠어요? 거절해도 상관없어요.
20,대신 거절한다면 이곳에서의 기억을 잃은 채 메인 홀로 다시 보내드릴게요.
21,기억을 잃는다고...? 그런 게 가능한가?
20,걱정하지 않아도 돼요. 아마도.
21,아마도...?
20,목숨에는 지장이 없는 걸 확인했으니까요.
21,...목숨에는?
19,"사실상 협박이었다. 
아까 본 카드가 공중에 떠다니던 것, 기억을 조작한다는 말…"
19,"이 방에 어떤 장치가 있는 걸까? 
아니, 더 생각해봤자 소용없다."
19,아마 저 여자가 소문의 그 카지노 딜러겠지.
19,나는 천천히 숨을 고르고 결정을 내렸다.
21,...좋아. 한 번 해보자.
22,그녀는 만족스러운 미소를 지으며 손짓으로 나를 테이블 앞으로 안내했다.
23,아주 좋아요. 당신이 여기서 얼마나 버틸 수 있을지... 기대되네요.
