Index,Text
0,또다시 승리였다.
19,테이블 위에 놓인 마지막 카드가 빛을 머금은 채 승리를 선언하듯 반짝였다. 
19,"에블린은 조용히 자신의 패를 확인하더니, 작게 웃음을 터뜨렸다."
70,제가 오늘 조금 덜 긴장했던 걸까요?
19,"그녀는 여유로운 목소리로 말했지만, 
그 눈빛 한구석에는 예상하지 못한 결과에 대한 놀라움이 스쳐 지나갔다."
70,약속한 보상을 받아갈 때가 됐네요.
71,드디어!
72,"기다렸다는 듯 외치자, 그녀는 순간 멈칫했다."
72,방금 전까지 여유롭던 표정이 미세하게 흔들렸다. 
72,"마치, 정말로 이 요청을 들어줘야 하는 걸까 고민하는 듯한 얼굴이었다."
72,"그러나 이내 깊게 숨을 내쉬며, 마지못한 듯 고개를 끄덕였다."
73,약속은... 약속이니까요. 하지만 너무 오래는 안 돼요.
72,"솔직히 장난삼아 한 말이었는데, 진짜로 받아들여질 줄은 몰랐다."
72,"나는 자리에서 살짝 일어나 그녀 곁으로 다가갔다. 
에블린은 고개를 돌려 귀를 내 쪽으로 기울였다."
74,"고양이처럼 쫑긋 선 그녀의 귀가 가볍게 떨리고 있었다. 
꼬리도 살짝 흔들리고 있었다."
75,...진짜네.
76,진짜라니까요...
74,"손끝으로 살짝 스치듯 만져보니, 예상보다 부드럽고 따뜻했다. 
나는 무심코 감탄하며 중얼거렸다."
75,생각보다 부드럽고 따뜻한데?
76,그... 그런 말은 하지 말아주시겠어요?
76,"그리고 당신, 제가 누군지 잊으신 건가요?"
75,음... 무서운 악마였지. 언제든 내 영혼을 가져갈 수도 있는.
76,그걸 아는 인간이...!
75,하지만 이건 '보상'이잖아? 어디 보자... 꼬리도 한 번...
76,꼬리는 안 돼요!
77,순간 알 수 없는 힘이 나를 밀쳐냈다. 
77,"나는 휘청거리며 뒷걸음쳤고, 에블린은 볼을 붉힌 채 날카롭게 노려보고 있었다."
78,아야야...
79,적당히 하셨어야죠.
80,그녀는 이마를 짚으며 깊게 한숨을 내쉬었다.
81,"당신은 아무것도 모르고 있네요. 
수인족의 귀를 만진다는 게 어떤 의미인지..."
82,"어... 실례되는 행동이라는 건 알고 있었는데. 그런데 혹시, 그 이상의 의미라도 있는 거야?"
81,"악마 중에서도 수인족에 해당하는 존재들은... 
귀를 만진 상대에게 책임을 져야 하는 관습이 있어요."
81,"쉽게 말하면, 인간으로 치면 약혼이나 결혼 같은 의미죠."
82,...뭐?! 그런 말도 안 되는 관습이 어딨어?!
83,수인족의 전통이에요! 저도 어쩔 수 없는 거라고요!
84,난 그런 관습이 있는지도 몰랐다고! 모르고 한 건데 무효로 하면 안 돼?
85,"그녀는 어이없다는 듯 나를 빤히 쳐다보더니, 어깨를 으쓱했다."
83,"무효? 그런 게 어딨어요! 이미 귀를 만지셨잖아요! 
이건 수인족 사이에서 아주 중요한 신체적 접촉이라고요!"
84,그런 중요한 거였으면 내가 만지기 전에 말해줬어야지! 이건 무효야!
83,하...
36,"에블린은 깊게 한숨을 쉬더니, 이내 입술을 말아 쥐며 나를 흘겨보았다. 
그리고 곧 장난기 어린 미소를 지으며 입을 열었다."
37,"정말 인간들은 무책임하네요. 당신의 욕망에 따라 일어난 일인데, 이제 와서 도망치려는 건가요?"
38,"...잠깐, 혹시 지금 농담한 거야?"
86,"얼빠진 표정으로 묻자, 그녀는 웃음을 터뜨리며 고개를 끄덕였다."
88,당연하죠. 재미있는 반응이었네요.
87,진짜... 심장 떨어지는 줄 알았어. 그런 농담은 하지 말아줘.
88,당신 반응이 너무 재미있어서요. 최근 이렇게까지 즐겁게 게임한 적이 없거든요. 
88,나름대로의 장난이었을 뿐이에요.
88,"혹시 모르죠? 다음 게임에서도 승리한다면, 이번에는 꼬리도 허락해 줄지도 모르겠네요."
87,"...갈수록 보상이 이상한 방향으로 가는 것 같은데? 애초에, 보상이니 뭐니 해도... "
87,아직까지 내가 이곳에서 나갈 수 있는 방법을 알려주지 않고 있잖아?
89,"그 말을 듣자, 에블린의 표정이 희미하게 굳었다. 그녀는 정곡을 찔린 듯 한동안 침묵했다."
90,...제가 너무 들떴군요. 결국 당신도 이곳에서 나가야 하는 인간이었는데.
90,"이렇게 즐거웠던적은 오랜만이라, 잊고있었네요."
89,그녀는 한 손으로 턱을 괴며 나를 바라봤다.
90,그 물음에 대한 답은... 다음 보상으로 미루도록 하죠.
89,에블린의 검은 눈동자가 장난스럽게 빛났다.
90,"그러니, 다음 게임에서도 이길 자신 있죠?"
