Index,Text
23,"좋아요, 대충 게임에 익숙해진 모양이네요."
22,그녀는 만족스럽다는 듯 손가락을 툭 튕겼다. 테이블 위의 카드 더미가 미세하게 흔들렸다가 다시 원래 자리로 돌아갔다.
23,보답이라고 해야 할까요? 생각해 보니 아직 통성명도 제대로 하지 않았네요.
22,그녀는 부드러운 미소를 지으며 나를 바라봤다.
24,제 이름은 에블린이에요. 이곳 Devil's Pastime의 평범한 딜러입니다.
25,평범... 하다기엔...
26,나는 그녀의 쫑긋거리는 귀를 바라보며 조용히 말을 이었다.
25,인간은... 아닌 거잖아?
27,보시다시피.
28,에블린은 가볍게 어깨를 으쓱였다.
28,"게임을 진행하며 알게 되었다. 아까 카드가 공중에 떠오른 것도, 방금 게임에서 벌어진 기묘한 현상들도..."
29,전부...
30,내가 입을 떼자 그녀가 고개를 갸웃했다.
31,전부?
32,마술이구나!
30,"인간이 아닌 존재라니, 말도 안 된다. 마술이 아니고선 설명할 길이 없다. 만약 인간이 아니라면 벌써 연구실에 갇혀 실험 대상이 됐겠지."
33,에블린의 눈동자가 가늘어졌다.
34,....
35,그리고 그 귀랑 꼬리도 내가 게임에 집중하지 못하게 만들려는 특수 분장이겠지.
33,나는 피식 웃으며 덧붙였다.
35,"세상에 인외종이니, 마법이니... 영혼을 건 게임 같은 건 존재할 리가 없잖아?"
34,세상에 마법이 존재할 리 없다라...
36,에블린은 흥미롭다는 듯 손가락으로 턱을 문질렀다.
37,믿지 않아도 괜찮아요. 끝없는 의심과 확인은 그야말로 인간다운 행동이니까.
36,그녀는 테이블 위에 흩어진 카드를 가볍게 모으며 부드러운 목소리로 덧붙였다.
37,"이렇게 하죠. 당신이 다음 게임에서도 이긴다면, 그때는 제 '진짜' 정체를 보여드릴게요."
38,진짜 정체라니...?
37,직접 확인하는 게 더 재미있잖아요. 이런 건 하나씩 밝혀가는 맛이 중요한 법이니까요.
39,에블린은 손끝으로 카드를 튕기며 의미심장한 미소를 지었다.
40,"그러니, 다시 한 판 해볼까요? 서로의 진실과 영혼을 건 게임을."
