Index,Text
0,게임이 끝났다. 테이블 위에 놓인 카드들이 조용히 승자를 증명하고 있었다.
0,또다시 내 승리였다.
57,"에블린은 패배를 담담하게 받아들이는 듯했지만, 
그 눈빛 속엔 미묘한 감정이 스쳐 지나갔다."
57,마치 예상치 못한 상황이 반복되는 것에 대한 놀라움과 흥미가 뒤섞인 듯한 기색이었다.
57,나는 테이블에 기대어 앉으며 승리를 곱씹었다.
58,또 내가 이겼네. 이제 이 정도면 보상을 요구해도 되는 거 아닌가?
36,에블린은 내 말을 듣고 피식 웃으며 고개를 살짝 기울였다.
37,보상이라니요? 이미 당신이 쌓아 올린 칩만 해도 엄청난 값어치를 지니고 있는데요.
36,나는 테이블 한쪽에 수북이 쌓인 칩을 바라보았다.
36,"분명 메인 홀에서는 본 적 없는, VIP룸 전용 칩이었다."
59,근데 대체 이게 하나에 얼마길래?
60,에블린은 손을 들어 양손을 펼쳐 보였다.
60,나는 그 제스처를 보고 잠시 고민하다가 추측했다.
59,...100만 원?
60,그녀는 조용히 고개를 저었다.
59,...1000만 원?
60,이번에도 마찬가지였다.
60,나는 말없이 그녀를 바라보았다.
61,에블린은 짧게 한숨을 내쉬며 부드럽게 미소 지었다.
62,"이 칩은 특별하니까요. 다른 카지노에서는 바꿀 수도 없고, 
오직 이곳 VIP룸에서만 생성하는 칩이거든요."
61,"그녀의 말이 끝나자, 나는 순간 깨달았다."
61,내가 여기에 걸고 있는 것이 ‘영혼’이라면… 그녀가 걸고 있는 것도…?
63,설마… 네가 걸고 있는 것도…?
64,에블린은 장난기 어린 미소를 지으며 부드럽게 고개를 끄덕였다.
65,맞아요. 저도 제 영혼을 걸고 있죠.
66,"그럼… 내가 계속 이기면, 너는 죽게 되는 거야?"
64,"그녀는 내 물음에 잠시 생각하더니, 장난스러운 듯한 표정을 지었다."
65,"반은 맞고, 반은 틀렸어요."
65,"우선, 제 영혼도 한계가 있기 때문에 전부 소진되면 저도 사라질 수도 있죠."
65,다만…
64,에블린은 테이블 위의 칩을 손끝으로 톡톡 건드리며 말을 이었다.
65,인간과 악마의 영혼이 같을 거라고 생각한 건 아니죠?
64,"나는 순간 말문이 막혔다. 그야 그렇겠지. 
악마라면 인간과는 차원이 다른 존재일 테니까."
66,이건 불공평해…
64,"나는 중얼거리듯 말했다. 
이런 불공평한 게임을 계속하기엔 나는 목숨까지 걸고있는게 아닌가."
66,"그럼, 다른 보상을 줘."
67,에블린이 눈썹을 살짝 치켜올렸다.
68,다른 보상?
67,"나는 그녀를 곰곰이 바라보았다. 
처음부터 궁금했던 것이 있었다."
66,"그 귀랑 꼬리, 만져봐도 돼?"
69,그녀의 귀와 꼬리는 처음 봤을 때부터 신경이 쓰였다.
69,"처음엔 특수 분장일 거라 생각했지만, 
진짜라고 하니 더더욱 호기심이 생겼다."
69,그런데 내 말을 듣자마자 그녀의 미소가 살짝 굳었다.
69,…화났나?
61,"에블린은 한동안 나를 가만히 바라보더니, 
다시 부드러운 미소를 지었다."
62,"...인간은 참, 재미있네요."
61,그녀는 천천히 손가락을 들어 자신의 귀를 가볍게 스치며 말했다.
62,살려달라거나 지금 당장 내보내달라는 인간들은 많이 봐왔지만...
61,그녀는 내 얼굴을 뚫어지게 바라보았다.
62,하지만… 아직 우리는 그런 관계가 아니잖아요?
61,"에블린의 꼬리가 천천히 흔들렸다. 유혹하듯, 그리고 약을 올리듯이."
62,다음 게임에서도 승리한다면… 그때는 한 번 생각해볼게요.
62,하지만 제가 그렇게 쉽게 허락할 거라고는 기대하지 마세요.
61,"그녀는 천천히 의자에 기대며, 장난기 어린 눈빛으로 나를 바라보았다."
62,"자, 다시 한 판. 이번에도 이길 자신 있나요?"
